codes,value,expirationDate,name,email/phone
la-poste-HT4PHPKS25,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-DOP6Y555I9,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-8T1SE668AR,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-RNZ7WRX336,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-N1L1UMJSLS,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-IQO8OAFHCO,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-A92VODEAWG,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-LAMJPQ8LVT,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-OEBGI63PTJ,21.9,2025-10-10,la-poste,laPoste@france.fr
la-poste-5OEUYM08B2,21.9,2025-10-10,la-poste,laPoste@france.fr
